Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,17/08/96,Arsenal,West Ham,2,0,H,2,0,H
E0,17/08/96,Blackburn,Tottenham,0,2,A,0,1,A
E0,17/08/96,Coventry,Nott'm Forest,0,3,A,0,2,A
E0,17/08/96,Derby,Leeds,3,3,D,0,1,A
E0,17/08/96,Everton,Newcastle,2,0,H,2,0,H
E0,17/08/96,Middlesbrough,Liverpool,3,3,D,2,2,D
E0,17/08/96,Sheffield Weds,Aston Villa,2,1,H,0,0,D
E0,17/08/96,Sunderland,Leicester,0,0,D,0,0,D
E0,17/08/96,Wimbledon,Man United,0,3,A,0,1,A
E0,18/08/96,Southampton,Chelsea,0,0,D,0,0,D
E0,19/08/96,Liverpool,Arsenal,2,0,H,0,0,D
E0,20/08/96,Leeds,Sheffield Weds,0,2,A,0,1,A
E0,21/08/96,Aston Villa,Blackburn,1,0,H,0,0,D
E0,21/08/96,Chelsea,Middlesbrough,1,0,H,0,0,D
E0,21/08/96,Leicester,Southampton,2,1,H,2,0,H
E0,21/08/96,Man United,Everton,2,2,D,0,2,A
E0,21/08/96,Newcastle,Wimbledon,2,0,H,1,0,H
E0,21/08/96,Nott'm Forest,Sunderland,1,4,A,1,4,A
E0,21/08/96,Tottenham,Derby,1,1,D,1,0,H
E0,21/08/96,West Ham,Coventry,1,1,D,0,1,A
E0,24/08/96,Aston Villa,Derby,2,0,H,1,0,H
E0,24/08/96,Chelsea,Coventry,2,0,H,1,0,H
E0,24/08/96,Leicester,Arsenal,0,2,A,0,1,A
E0,24/08/96,Liverpool,Sunderland,0,0,D,0,0,D
E0,24/08/96,Newcastle,Sheffield Weds,1,2,A,1,1,D
E0,24/08/96,Nott'm Forest,Middlesbrough,1,1,D,0,0,D
E0,24/08/96,Tottenham,Everton,0,0,D,0,0,D
E0,24/08/96,West Ham,Southampton,2,1,H,0,1,A
E0,25/08/96,Man United,Blackburn,2,2,D,1,1,D
E0,26/08/96,Leeds,Wimbledon,1,0,H,0,0,D
E0,2/9/1996,Sheffield Weds,Leicester,2,1,H,1,1,D
E0,4/9/1996,Arsenal,Chelsea,3,3,D,1,2,A
E0,4/9/1996,Blackburn,Leeds,0,1,A,0,1,A
E0,4/9/1996,Coventry,Liverpool,0,1,A,0,0,D
E0,4/9/1996,Derby,Man United,1,1,D,1,1,D
E0,4/9/1996,Everton,Aston Villa,0,1,A,0,0,D
E0,4/9/1996,Middlesbrough,West Ham,4,1,H,2,0,H
E0,4/9/1996,Southampton,Nott'm Forest,2,2,D,0,2,A
E0,4/9/1996,Sunderland,Newcastle,1,2,A,1,0,H
E0,4/9/1996,Wimbledon,Tottenham,1,0,H,1,0,H
E0,7/9/1996,Aston Villa,Arsenal,2,2,D,1,0,H
E0,7/9/1996,Leeds,Man United,0,4,A,0,1,A
E0,7/9/1996,Liverpool,Southampton,2,1,H,1,0,H
E0,7/9/1996,Middlesbrough,Coventry,4,0,H,2,0,H
E0,7/9/1996,Nott'm Forest,Leicester,0,0,D,0,0,D
E0,7/9/1996,Sheffield Weds,Chelsea,0,2,A,0,1,A
E0,7/9/1996,Tottenham,Newcastle,1,2,A,1,1,D
E0,7/9/1996,Wimbledon,Everton,4,0,H,1,0,H
E0,8/9/1996,Sunderland,West Ham,0,0,D,0,0,D
E0,9/9/1996,Blackburn,Derby,1,2,A,1,1,D
E0,14/09/96,Coventry,Leeds,2,1,H,0,1,A
E0,14/09/96,Derby,Sunderland,1,0,H,0,0,D
E0,14/09/96,Everton,Middlesbrough,1,2,A,1,0,H
E0,14/09/96,Man United,Nott'm Forest,4,1,H,2,1,H
E0,14/09/96,Newcastle,Blackburn,2,1,H,1,0,H
E0,14/09/96,Southampton,Tottenham,0,1,A,0,0,D
E0,14/09/96,West Ham,Wimbledon,0,2,A,0,0,D
E0,15/09/96,Chelsea,Aston Villa,1,1,D,1,1,D
E0,15/09/96,Leicester,Liverpool,0,3,A,0,0,D
E0,16/09/96,Arsenal,Sheffield Weds,4,1,H,0,1,A
E0,21/09/96,Aston Villa,Man United,0,0,D,0,0,D
E0,21/09/96,Blackburn,Everton,1,1,D,1,1,D
E0,21/09/96,Leeds,Newcastle,0,1,A,0,0,D
E0,21/09/96,Liverpool,Chelsea,5,1,H,3,0,H
E0,21/09/96,Middlesbrough,Arsenal,0,2,A,0,2,A
E0,21/09/96,Nott'm Forest,West Ham,0,2,A,0,1,A
E0,21/09/96,Sheffield Weds,Derby,0,0,D,0,0,D
E0,21/09/96,Sunderland,Coventry,1,0,H,0,0,D
E0,22/09/96,Tottenham,Leicester,1,2,A,0,1,A
E0,23/09/96,Wimbledon,Southampton,3,1,H,2,0,H
E0,28/09/96,Arsenal,Sunderland,2,0,H,0,0,D
E0,28/09/96,Chelsea,Nott'm Forest,1,1,D,0,0,D
E0,28/09/96,Coventry,Blackburn,0,0,D,0,0,D
E0,28/09/96,Derby,Wimbledon,0,2,A,0,0,D
E0,28/09/96,Everton,Sheffield Weds,2,0,H,1,0,H
E0,28/09/96,Leicester,Leeds,1,0,H,0,0,D
E0,28/09/96,Southampton,Middlesbrough,4,0,H,2,0,H
E0,29/09/96,Man United,Tottenham,2,0,H,1,0,H
E0,29/09/96,West Ham,Liverpool,1,2,A,1,1,D
E0,30/09/96,Newcastle,Aston Villa,4,3,H,3,1,H
E0,12/10/1996,Blackburn,Arsenal,0,2,A,0,1,A
E0,12/10/1996,Derby,Newcastle,0,1,A,0,0,D
E0,12/10/1996,Everton,West Ham,2,1,H,1,0,H
E0,12/10/1996,Leeds,Nott'm Forest,2,0,H,0,0,D
E0,12/10/1996,Leicester,Chelsea,1,3,A,1,0,H
E0,12/10/1996,Man United,Liverpool,1,0,H,1,0,H
E0,12/10/1996,Tottenham,Aston Villa,1,0,H,0,0,D
E0,12/10/1996,Wimbledon,Sheffield Weds,4,2,H,2,1,H
E0,13/10/96,Coventry,Southampton,1,1,D,0,1,A
E0,14/10/96,Sunderland,Middlesbrough,2,2,D,1,1,D
E0,19/10/96,Arsenal,Coventry,0,0,D,0,0,D
E0,19/10/96,Aston Villa,Leeds,2,0,H,0,0,D
E0,19/10/96,Chelsea,Wimbledon,2,4,A,1,2,A
E0,19/10/96,Middlesbrough,Tottenham,0,3,A,0,2,A
E0,19/10/96,Nott'm Forest,Derby,1,1,D,1,0,H
E0,19/10/96,Sheffield Weds,Blackburn,1,1,D,1,0,H
E0,19/10/96,Southampton,Sunderland,3,0,H,1,0,H
E0,19/10/96,West Ham,Leicester,1,0,H,0,0,D
E0,20/10/96,Newcastle,Man United,5,0,H,2,0,H
E0,26/10/96,Arsenal,Leeds,3,0,H,2,0,H
E0,26/10/96,Chelsea,Tottenham,3,1,H,1,1,D
E0,26/10/96,Coventry,Sheffield Weds,0,0,D,0,0,D
E0,26/10/96,Leicester,Newcastle,2,0,H,1,0,H
E0,26/10/96,Middlesbrough,Wimbledon,0,0,D,0,0,D
E0,26/10/96,Southampton,Man United,6,3,H,3,1,H
E0,26/10/96,Sunderland,Aston Villa,1,0,H,1,0,H
E0,26/10/96,West Ham,Blackburn,2,1,H,0,1,A
E0,27/10/96,Liverpool,Derby,2,1,H,0,0,D
E0,28/10/96,Nott'm Forest,Everton,0,1,A,0,1,A
E0,2/11/1996,Aston Villa,Nott'm Forest,2,0,H,1,0,H
E0,2/11/1996,Derby,Leicester,2,0,H,0,0,D
E0,2/11/1996,Leeds,Sunderland,3,0,H,1,0,H
E0,2/11/1996,Man United,Chelsea,1,2,A,0,1,A
E0,2/11/1996,Sheffield Weds,Southampton,1,1,D,1,0,H
E0,2/11/1996,Tottenham,West Ham,1,0,H,0,0,D
E0,2/11/1996,Wimbledon,Arsenal,2,2,D,1,1,D
E0,3/11/1996,Blackburn,Liverpool,3,0,H,2,0,H
E0,3/11/1996,Newcastle,Middlesbrough,3,1,H,1,0,H
E0,4/11/1996,Everton,Coventry,1,1,D,1,0,H
E0,16/11/96,Aston Villa,Leicester,1,3,A,1,2,A
E0,16/11/96,Blackburn,Chelsea,1,1,D,0,0,D
E0,16/11/96,Everton,Southampton,7,1,H,5,1,H
E0,16/11/96,Leeds,Liverpool,0,2,A,0,1,A
E0,16/11/96,Man United,Arsenal,1,0,H,0,0,D
E0,16/11/96,Newcastle,West Ham,1,1,D,0,1,A
E0,16/11/96,Tottenham,Sunderland,2,0,H,1,0,H
E0,16/11/96,Wimbledon,Coventry,2,2,D,1,0,H
E0,17/11/96,Derby,Middlesbrough,2,1,H,1,0,H
E0,18/11/96,Sheffield Weds,Nott'm Forest,2,0,H,0,0,D
E0,20/11/96,Liverpool,Everton,1,1,D,1,0,H
E0,23/11/96,Chelsea,Newcastle,1,1,D,1,1,D
E0,23/11/96,Coventry,Aston Villa,1,2,A,0,1,A
E0,23/11/96,Leicester,Everton,1,2,A,0,1,A
E0,23/11/96,Liverpool,Wimbledon,1,1,D,1,0,H
E0,23/11/96,Middlesbrough,Man United,2,2,D,1,1,D
E0,23/11/96,Southampton,Leeds,0,2,A,0,0,D
